City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Country,Date
139,Sitka,57.05,-135.33,37.4,74,90,3.36,overcast clouds,US,2020-11-08 14:15:17
140,Tigil,57.8,158.67,24.89,87,0,2.86,clear sky,RU,2020-11-08 14:14:46
141,Waddan,29.16,16.14,72.79,42,95,11.99,overcast clouds,LY,2020-11-08 14:18:34
142,Saint-Joseph,-21.37,55.62,77.0,73,90,21.92,overcast clouds,RE,2020-11-08 14:18:34
143,Alfeld,51.98,9.82,60.01,74,0,3.96,clear sky,DE,2020-11-08 14:18:34
144,Saint-Francois,46.42,3.91,64.4,63,0,6.93,clear sky,FR,2020-11-08 14:18:34
145,Magsalangi,12.18,123.57,78.48,86,100,2.37,overcast clouds,PH,2020-11-08 14:18:34
146,Puerto Leguizamo,-0.19,-74.78,75.79,96,100,0.34,light rain,CO,2020-11-08 14:15:02
147,Shingu,33.73,135.98,54.25,75,0,6.62,clear sky,JP,2020-11-08 14:18:35
148,Saint George,37.1,-113.58,43.0,56,90,12.75,overcast clouds,US,2020-11-08 14:13:19
149,Pisco,-13.7,-76.22,66.2,77,90,6.93,overcast clouds,PE,2020-11-08 14:11:55
150,Lima,-12.04,-77.03,66.2,77,75,9.17,broken clouds,PE,2020-11-08 14:12:39
151,Paamiut,61.99,-49.67,25.32,88,100,34.47,overcast clouds,GL,2020-11-08 14:15:04
152,Shibetsu,43.66,145.13,40.93,79,84,8.48,moderate rain,JP,2020-11-08 14:18:35
153,Kamiiso,41.82,140.65,40.75,70,54,23.24,broken clouds,JP,2020-11-08 14:18:35
154,Kargopol,61.51,38.95,34.48,85,100,12.28,overcast clouds,RU,2020-11-08 14:18:36
155,Gat,31.61,34.76,75.0,41,97,3.0,overcast clouds,IL,2020-11-08 14:09:56
156,Kousseri,12.08,15.03,95.0,17,0,6.93,clear sky,CM,2020-11-08 14:18:36
157,Khudumelapye,-23.88,24.75,99.28,16,67,8.95,broken clouds,BW,2020-11-08 14:18:36
158,Sisimiut,66.94,-53.67,11.37,85,0,11.05,clear sky,GL,2020-11-08 14:18:36
159,Tabou,4.42,-7.35,82.9,77,99,8.16,light rain,CI,2020-11-08 14:18:36
160,Kisangani,0.52,25.2,85.59,62,74,2.24,broken clouds,CD,2020-11-08 14:14:43
161,Inirida,3.87,-67.92,76.53,94,100,0.67,overcast clouds,CO,2020-11-08 14:15:29
162,Sorland,67.67,12.69,41.0,80,75,100.21,shower rain,NO,2020-11-08 14:14:56
163,Nioro,13.35,-15.75,102.15,16,0,9.6,clear sky,GM,2020-11-08 14:16:06
164,Kilindoni,-7.91,39.67,81.48,76,85,14.18,overcast clouds,TZ,2020-11-08 14:18:37
165,Hobyo,5.35,48.53,81.72,76,5,16.62,clear sky,SO,2020-11-08 14:18:37
166,Sturgeon Bay,44.83,-87.38,55.4,76,1,9.17,clear sky,US,2020-11-08 14:18:37
167,Thompson,55.74,-97.86,12.2,92,20,10.29,few clouds,CA,2020-11-08 14:10:24
168,Flinders,-34.58,150.86,60.01,79,81,1.01,broken clouds,AU,2020-11-08 14:12:15
169,Nikolskoye,59.7,30.79,41.0,64,0,11.18,clear sky,RU,2020-11-08 14:14:26
170,Balkhash,46.84,74.98,50.9,54,100,14.14,overcast clouds,KZ,2020-11-08 14:16:26
171,Mago,53.25,140.18,19.8,86,100,9.24,overcast clouds,RU,2020-11-08 14:18:39
172,Lebu,-37.62,-73.65,56.93,64,8,15.52,clear sky,CL,2020-11-08 14:15:02
173,Cayenne,4.93,-52.33,86.0,70,90,10.29,overcast clouds,GF,2020-11-08 14:13:24
174,Kaitangata,-46.28,169.85,46.99,82,14,3.0,few clouds,NZ,2020-11-08 14:14:29
175,Yar-Sale,66.83,70.83,24.17,98,74,4.88,broken clouds,RU,2020-11-08 14:14:40
176,Zhicheng,30.3,111.5,62.01,41,0,4.12,clear sky,CN,2020-11-08 14:18:39
177,Pechenga,69.53,31.17,33.8,80,20,44.96,few clouds,RU,2020-11-08 14:18:40
178,Mocuba,-16.84,36.99,106.23,14,95,6.6,overcast clouds,MZ,2020-11-08 14:18:40
179,Tuktoyaktuk,69.45,-133.04,17.92,95,37,8.77,scattered clouds,CA,2020-11-08 14:14:35
180,Katobu,-4.94,122.53,77.0,82,100,3.15,overcast clouds,ID,2020-11-08 14:18:40
181,Alice Springs,-23.7,133.88,78.8,16,1,9.17,clear sky,AU,2020-11-08 14:14:15
182,Half Moon Bay,37.46,-122.43,52.0,76,90,24.16,haze,US,2020-11-08 14:17:40
183,Bisira,8.52,-81.71,62.28,100,97,3.31,overcast clouds,PA,2020-11-08 14:18:41
184,Aripuana,-9.17,-60.63,92.91,42,19,4.25,few clouds,BR,2020-11-08 14:18:41
185,Boddam,57.47,-1.78,50.0,100,90,11.41,mist,GB,2020-11-08 14:18:41
186,Arroio Dos Ratos,-30.08,-51.73,75.2,69,75,13.87,broken clouds,BR,2020-11-08 14:18:42
187,Poplar Bluff,36.76,-90.39,64.4,93,90,4.7,overcast clouds,US,2020-11-08 14:18:42
188,Dire Dawa,9.59,41.87,83.91,21,11,17.4,few clouds,ET,2020-11-08 14:18:42
189,Poum,-20.23,164.02,75.22,77,82,18.88,broken clouds,NC,2020-11-08 14:14:33
190,Praia Da Vitoria,38.73,-27.07,60.01,85,17,5.01,few clouds,PT,2020-11-08 14:18:42
191,Saint-Philippe,-21.36,55.77,77.0,73,90,21.92,overcast clouds,RE,2020-11-08 14:15:28
192,Port Augusta,-32.5,137.77,68.0,52,31,6.93,scattered clouds,AU,2020-11-08 14:14:50
193,Posadas,-27.37,-55.9,80.6,61,0,3.36,clear sky,AR,2020-11-08 14:18:43
194,Bathsheba,13.22,-59.52,86.0,74,40,14.99,scattered clouds,BB,2020-11-08 14:15:31
195,Vao,-22.67,167.48,71.69,78,0,16.53,clear sky,NC,2020-11-08 14:12:26
196,Port Hawkesbury,45.62,-61.35,43.0,65,1,5.82,clear sky,CA,2020-11-08 14:18:43
