City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
159,Kalispell,US,2020-11-07 18:31:41,48.2,-114.31,36.0,93,90,3.36
160,Acapulco,MX,2020-11-07 18:28:23,16.86,-99.89,86.0,70,5,3.36
161,Colares,PT,2020-11-07 18:31:44,38.8,-9.45,63.0,88,75,13.87
162,Waingapu,ID,2020-11-07 18:31:44,-9.66,120.26,80.17,71,100,0.65
163,Baiyin,CN,2020-11-07 18:31:44,36.56,104.21,39.99,60,0,11.18
164,Okahandja,NA,2020-11-07 18:31:45,-21.98,16.92,80.6,13,0,10.29
165,Ancud,CL,2020-11-07 18:31:33,-41.87,-73.82,64.4,55,0,9.17
166,Maoming,CN,2020-11-07 18:31:45,21.65,110.9,70.48,67,0,5.84
167,Pingzhuang,CN,2020-11-07 18:31:45,42.04,119.29,26.62,63,0,7.94
168,Kamaishi,JP,2020-11-07 18:31:45,39.27,141.88,55.74,79,23,6.06
169,Olga,RU,2020-11-07 18:31:45,43.74,135.29,33.58,85,18,3.87
170,Tuktoyaktuk,CA,2020-11-07 18:31:46,69.45,-133.04,26.6,79,75,21.92
171,Hohhot,CN,2020-11-07 18:27:19,40.81,111.65,23.0,53,0,6.71
172,Mindelo,CV,2020-11-07 18:31:46,16.89,-24.98,82.4,61,75,18.34
173,Clyde River,CA,2020-11-07 18:31:46,70.47,-68.59,-2.2,84,20,4.7
174,Changde,CN,2020-11-07 18:31:46,29.05,111.68,57.74,59,0,3.31
175,Albury,AU,2020-11-07 18:30:15,-36.08,146.92,48.2,81,0,2.98
176,Jermuk,AM,2020-11-07 18:31:47,39.84,45.67,34.07,86,0,2.57
177,Koumac,NC,2020-11-07 18:31:47,-20.57,164.28,73.83,75,2,9.73
178,Northam,GB,2020-11-07 18:31:47,51.03,-4.22,55.99,92,100,3.0
179,Hesla,IN,2020-11-07 18:31:47,24.07,85.88,63.88,47,0,5.12
180,Teya,RU,2020-11-07 18:31:47,60.38,92.63,37.98,85,100,11.01
181,Lompoc,US,2020-11-07 18:31:28,34.64,-120.46,57.2,71,40,4.7
182,Jardim,BR,2020-11-07 18:31:48,-21.48,-56.14,100.54,18,0,5.79
183,Hithadhoo,MV,2020-11-07 18:31:48,-0.6,73.08,83.3,73,86,8.16
184,Saldanha,ZA,2020-11-07 18:31:48,-33.01,17.94,64.4,72,0,14.99
185,Buala,SB,2020-11-07 18:31:49,-8.14,159.59,79.65,76,2,3.11
186,Nanortalik,GL,2020-11-07 18:31:49,60.14,-45.24,32.41,90,100,6.42
187,La Ronge,CA,2020-11-07 18:31:49,55.1,-105.28,19.4,85,100,6.93
188,Ridgecrest,US,2020-11-07 18:31:49,35.62,-117.67,52.0,55,100,10.0
189,Dom Pedro,BR,2020-11-07 18:31:49,-4.48,-44.45,87.6,62,52,3.15
190,Saint-Pierre,RE,2020-11-07 18:31:49,-21.34,55.48,73.4,78,75,17.22
191,Xinzhi,CN,2020-11-07 18:31:49,36.5,111.7,48.16,41,0,5.35
192,Ikot Ekpene,NG,2020-11-07 18:31:50,5.18,7.71,76.59,89,100,6.33
193,Komsomolskiy,UZ,2020-11-07 18:31:50,40.43,71.72,51.8,60,99,3.89
194,Chernyshevskiy,RU,2020-11-07 18:31:50,63.01,112.47,-7.31,92,97,3.13
195,Faanui,PF,2020-11-07 18:31:50,-16.48,-151.75,78.76,79,59,13.22
196,Lorengau,PG,2020-11-07 18:31:50,-2.02,147.27,81.1,75,33,8.72
197,Visby,SE,2020-11-07 18:31:50,57.64,18.3,51.01,93,100,11.41
198,Grand-Lahou,CI,2020-11-07 18:31:51,5.14,-5.02,79.09,86,85,6.64
199,Ballina,AU,2020-11-07 18:31:51,-28.87,153.57,62.6,93,90,10.29
200,Annau,TM,2020-11-07 18:31:51,37.89,58.52,60.8,48,75,2.24
201,Kavaratti,IN,2020-11-07 18:27:00,10.57,72.64,83.32,72,1,5.3
202,Severo-Kurilsk,RU,2020-11-07 18:31:51,50.68,156.12,34.57,82,0,3.29
203,Reyes,BO,2020-11-07 18:31:51,-14.32,-67.38,100.4,53,16,4.7
204,Nuevo Progreso,MX,2020-11-07 18:31:51,23.17,-97.95,84.99,48,82,5.01
205,Fortuna,US,2020-11-07 18:31:52,40.6,-124.16,53.01,81,75,17.22
206,Bow Island,CA,2020-11-07 18:31:52,49.87,-111.37,37.4,93,100,5.82
207,Rognan,NO,2020-11-07 18:31:52,67.1,15.39,39.0,87,100,10.0
208,Methoni,GR,2020-11-07 18:31:52,36.82,21.7,62.6,45,0,11.3
209,Paungde,MM,2020-11-07 18:31:53,18.48,95.5,73.18,94,0,6.89
210,Samarai,PG,2020-11-07 18:31:55,-10.62,150.67,80.89,83,1,8.55
211,Barrow,US,2020-11-07 18:31:48,71.29,-156.79,30.2,86,90,23.04
212,Poum,NC,2020-11-07 18:31:55,-20.23,164.02,76.44,73,1,13.69
213,Joniskis,LT,2020-11-07 18:31:55,56.24,23.62,46.4,100,90,12.75
214,Deqing,CN,2020-11-07 18:31:55,30.54,119.96,64.0,73,0,1.01
215,Socorro,US,2020-11-07 18:31:56,31.65,-106.3,77.0,15,5,5.82
216,Oktyabrskiy,RU,2020-11-07 18:31:56,54.48,53.47,35.85,83,99,9.69
217,Batagay-Alyta,RU,2020-11-07 18:31:56,67.8,130.41,-12.39,81,74,0.45
218,Coihaique,CL,2020-11-07 18:31:56,-45.58,-72.07,66.2,37,0,5.82
219,Isangel,VU,2020-11-07 18:31:56,-19.55,169.27,77.36,81,1,7.31
220,Sudzha,RU,2020-11-07 18:31:56,51.2,35.27,43.29,93,0,7.9
221,Bonthe,SL,2020-11-07 18:31:57,7.53,-12.51,80.35,82,100,5.53
222,Pristen,RU,2020-11-07 18:31:57,51.24,36.7,42.8,93,0,6.71
223,Susanville,US,2020-11-07 18:31:57,40.42,-120.65,39.0,80,90,11.41
224,Grindavik,IS,2020-11-07 18:31:58,63.84,-22.43,41.0,80,75,29.97
225,Bokoro,TD,2020-11-07 18:31:58,12.38,17.06,83.77,18,0,10.89
226,Buta,CD,2020-11-07 18:31:58,2.79,24.73,71.85,96,100,1.16
227,Dickinson,US,2020-11-07 18:31:58,29.46,-95.05,80.01,69,1,3.36
228,Bilibino,RU,2020-11-07 18:31:58,68.05,166.44,-0.74,89,100,1.45
229,Tezu,IN,2020-11-07 18:31:59,27.92,96.17,66.72,41,0,4.05
230,Caraquet,CA,2020-11-07 18:31:59,47.79,-64.94,46.4,49,97,9.17
231,Port Blair,IN,2020-11-07 18:31:59,11.67,92.75,81.21,79,0,7.38
232,Bengkulu,ID,2020-11-07 18:31:59,-3.8,102.27,76.66,87,100,4.79
233,Port Elizabeth,ZA,2020-11-07 18:32:00,-33.92,25.57,64.4,88,0,3.36
234,Luxor,EG,2020-11-07 18:32:00,25.7,32.64,67.6,46,96,5.53
235,Pangai,TO,2020-11-07 18:32:00,-19.8,-174.35,75.2,73,40,6.93
236,Basco,PH,2020-11-07 18:32:00,20.45,121.97,80.4,83,100,22.17
237,Cadillac,US,2020-11-07 18:32:01,44.25,-85.4,69.8,49,1,11.41
238,Araguacu,BR,2020-11-07 18:32:01,-12.93,-49.83,87.94,45,100,4.14
